Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
Abraham Lincoln Birthplace NHP,200404,221111,177122,163568,169515,163928,241264,148605,252495,269580,200759
Acadia NP,2075857,2227698,2504208,2374645,2431052,2254922,2563129,2811184,3303393,3509271,2605536
Adams NHP,241536,253656,73339,219975,336031,285501,178468,183632,199301,255562,222700
African Burial Ground NM,,,117113,108585,77624,93234,54861,56348,46526,43182,74684
Agate Fossil Beds NM,12425,12694,12509,11617,11824,10504,12440,13264,15555,32038,14487
Alibates Flint Quarries NM,2297,2918,4350,3214,3383,1555,4513,9492,8153,6613,4649
Allegheny Portage Railroad NHS,113991,118931,107363,118410,138864,107977,172883,168433,189371,201837,143806
Amistad NRA,1980717,2573966,1574322,1436759,1367502,1025151,1130096,1250051,1164530,1221635,1472473
Andersonville NHS,159592,136267,121535,108812,122883,98771,127189,136686,134216,132149,127810
Andrew Johnson NHS,69433,63296,60323,52322,51261,42929,42863,45357,45937,53998,52772
Aniakchak NM & PRES,10,14,62,57,19,134,134,153,100,100,78
Antietam NB,352548,378966,393957,384987,510921,370832,337079,347180,351911,366508,379489
Apostle Islands NL,162871,170202,156945,176040,163419,148556,290059,232662,183796,203421,188797
Appomattox Court House NHP,178748,185443,216220,258917,320668,317660,278776,412640,303139,113960,258617
Arches NP,928795,996312,1014405,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1194247
Arkansas Post NMEM,43137,32160,34712,37127,39703,36420,30860,38702,34405,36079,36331
Arlington House The R.E. Lee MEM,518515,603773,627576,576816,562772,586531,671638,532050,1057500,726059,646323
Assateague Island NS,2011438,2129658,2106090,2105419,2154859,2056828,2170681,2275606,2267821,2347167,2162557
Aztec Ruins NM,38709,38234,37437,41106,44744,41312,44721,53165,57692,52756,44988
Badlands NP,845734,933918,977778,870741,883406,892372,868094,989354,996263,1054325,931199
Bandelier NM,207656,212544,234896,193914,150289,126682,130106,174073,198478,209141,183778
Belmont-Paul Women's Equality NM,,,,,,,,,2704,10893,6799
Bent's Old Fort NHS,25001,28131,29120,26842,25815,23324,24555,26219,31948,26397,26735
Bering Land Bridge NPRES,1019,1054,2642,1890,2642,2642,2636,2642,2642,2642,2245
Big Bend NP,362512,363905,372330,361862,292055,316953,314102,381747,388290,440276,359403
Big Cypress NPRES,813790,812207,665523,941393,882570,1007788,1192856,1112290,1102148,922883,945345
Big Hole NB,54818,49822,44771,36290,35207,38092,36987,39549,41795,36717,41405
Big South Fork NRRA,675928,686747,656374,606579,600161,565063,599906,643135,684715,761200,647981
Big Thicket NPRES,93634,100509,140489,137722,135262,120108,109956,125832,192809,170649,132697
Bighorn Canyon NRA,178533,205293,258637,201010,245831,241527,224083,245173,259485,231836,229141
Biscayne NP,686062,437745,467612,476077,495613,486848,525745,508164,514709,446961,504554
Black Canyon of the Gunnison NP,160185,171451,176344,168336,192570,175852,183045,209166,238018,307143,198211
Blue Ridge PKWY,16309307,15936316,14517118,15382447,15205059,12877368,13941749,15054603,15175578,16093765,15049331
Bluestone NSR,46942,45904,37790,41670,36842,36266,38450,36733,34139,32028,38676
Booker T. Washington NM,19990,21216,21665,24030,24361,22103,26127,27205,23440,25479,23562
Boston African American NHS,280279,298519,333463,379906,404248,386084,408641,412377,414170,413151,373084
Boston NHP,2232495,2155026,2060497,2546156,2629064,2245875,2476078,2262841,2594495,3425606,2462813
Brown v. Board of Education NHS,16950,19228,17808,16886,21101,19356,26868,25338,27968,25204,21671
Bryce Canyon NP,1043321,1216377,1285492,1296000,1385352,1311875,1435741,1745804,2365110,2571684,1565676
Buck Island Reef NM,46025,47341,27403,28223,30436,28972,34400,41936,38929,33082,35675
Buffalo NR,1405802,1522586,1545599,1169802,1093083,1125227,1357057,1463304,1785359,1471330,1393915
Cabrillo NM,705331,767687,763140,813351,877951,856128,893434,981825,959145,997903,861590
Canaveral NS,994453,1001665,966099,1005001,994430,1133688,1451225,1689754,1629944,1598586,1246485
Cane River Creole NHP,24587,27411,25115,26996,28310,25556,28981,30882,26863,30117,27482
Canyon de Chelly NM,835860,826425,827247,828145,828523,828478,827761,813686,821406,825660,826319
Canyonlands NP,436715,436241,435908,473773,452952,462242,542431,634607,776218,742271,539336
Cape Cod NS,4644235,4311949,4653706,4454771,4441290,4501898,4426750,4503220,4692796,4125418,4475603
Cape Hatteras NS,2146392,2282543,2193292,1960711,2302040,2214565,2153350,2274635,2411711,2433703,2237294
Cape Krusenstern NM,1575,1810,2521,8668,24950,18225,0,0,15000,15000,8775
Cape Lookout NS,486899,601954,530181,508116,480294,416568,430927,400413,458000,399357,471271
Capitol Reef NP,604811,617208,662661,668834,673345,663670,786514,941029,1064904,1150165,783314
Capulin Volcano NM,45178,50935,48580,46358,48710,48466,50892,55506,60132,59615,51437
Carl Sandburg Home NHS,21233,83550,86740,89721,93429,81710,82377,72606,80696,72777,76484
Carlsbad Caverns NP,400381,432639,428524,365000,381058,388566,397309,445720,466773,520026,422600
Carter G. Woodson Home NHS,,,,,,,,,,1884,1884
Casa Grande Ruins NM,73763,76350,77347,72308,68631,65106,63698,72606,75752,75583,72114
Castillo de San Marcos NM,618769,667783,708549,741042,727243,778128,760708,819154,854664,876975,755302
Castle Clinton NM,3727030,4080152,4126378,3985366,3264439,2180694,4727110,4597029,4812930,4737113,4023824
Catoctin Mountain Park,466926,440294,385745,264460,263797,175213,188170,229301,221750,236243,287190
Cedar Breaks NM,538016,492353,525831,493147,631809,466450,762907,793601,899676,909199,651299
Cesar E. Chavez NM,,,,,,8157,8854,10648,17216,15472,12069
Chaco Culture NHP,37180,37376,34226,39175,39044,29917,38386,38914,54084,55334,40364
Chamizal NMEM,197767,215852,226535,113817,104148,121937,108399,122431,147937,86400,144522
Channel Islands NP,332177,348745,277515,242756,249594,212029,342161,324816,364807,383687,307829
Charles Pinckney NHS,44072,43447,44081,45254,44314,47309,53486,46995,53184,53744,47589
Charles Young Buffalo Soldiers NM,,,,,,,,3993,10211,12405,8870
Chattahoochee River NRA,2826171,2830655,3011393,3161297,3168137,3039892,3119160,3173204,2736385,2768499,2983479
Chesapeake & Ohio Canal NHP,3111468,3751681,4111238,3937504,4712377,4941367,5066219,4798312,4813078,4859573,4410282
Chickamauga & Chattanooga NMP,993535,992448,991901,1036699,1032844,905984,996694,1002373,1027738,994537,997475
Chickasaw NRA,1230609,1238484,1253637,1212139,1487039,1099669,1152083,1254105,1676421,1533684,1313787
Chiricahua NM,56557,60851,55436,37037,41159,40646,45125,56960,51277,63132,50818
Christiansted NHS,105136,114743,117214,119335,126962,118638,109159,116817,115446,96779,114023
City of Rocks NRES,85893,96649,92484,95764,98996,94906,94825,105289,107865,130276,100295
Clara Barton NHS,9007,10986,23741,15620,25347,22737,20028,2823,0,0,13029
Colonial NHP,3332039,3324751,3459965,3414577,3274187,3168731,3335060,3343909,3352656,3333448,3333932
Colorado NM,390972,400266,433561,435460,454510,409351,416862,588006,391075,375035,429510
Congaree NP,104913,122970,121208,120166,109685,120340,120122,87513,143843,159595,121036
Coronado NMEM,91028,106409,136284,153042,97579,92936,118838,132584,136075,131614,119639
Cowpens NB,235176,224394,226868,223923,231973,216239,200836,206740,213299,212692,219214
Crater Lake NP,415686,446516,448319,423551,447251,523027,535508,614712,756344,711749,532266
Craters of the Moon NM,227179,194046,215698,198545,197529,200525,214993,246826,255436,285227,223600
Cumberland Gap NHP,843893,883663,918746,828947,853998,768363,879934,840601,820387,737547,837608
Cumberland Island NS,82812,77588,91996,74279,61493,51435,61401,59859,61896,51937,67470
Curecanti NRA,1007444,953169,969549,924468,862612,814163,931367,944742,982498,1041446,943146
Cuyahoga Valley NP,2828233,2589288,2492670,2161185,2299722,2103010,2189849,2284612,2423390,2226879,2359884
Dayton Aviation Heritage NHP,53292,58301,63961,68048,65999,59274,57565,73588,95334,99700,69506
De Soto NMEM,265944,246608,265406,355653,432981,279924,342039,293647,232463,233354,294802
Death Valley NP,871938,828574,984775,946867,984568,951972,1101312,1154843,1296283,1294827,1041596
Delaware Water Gap NRA,5127074,5213030,5285761,4986700,4970802,4843350,4041672,3735134,3677744,3400944,4528221
Denali NP & PRES,432309,358041,378855,406582,388433,530922,531315,560757,587412,642809,481744
Devils Postpile NM,134005,110212,80349,97207,87845,91794,114414,140313,135404,109571,110111
Devils Tower NM,336303,391023,436200,395203,416994,417326,440875,478833,496210,499031,430800
Dinosaur NM,201724,203862,197812,213559,302858,274361,250625,291799,304312,315859,255677
Dry Tortugas NP,63947,52011,53890,75171,60550,58401,64865,70862,73661,54281,62764
Edgar Allan Poe NHS,12961,17463,16584,14711,19104,5884,13701,13862,14827,14878,14398
Effigy Mounds NM,68696,78177,79783,82581,78540,71074,77812,81901,77195,67006,76277
Eisenhower NHS,70757,64212,61210,58022,53286,59179,58240,54377,55550,50597,58543
El Malpais NM,115066,123290,134662,105356,114678,137904,164063,174433,157440,161526,138842
El Morro NM,45178,48245,52566,48332,44808,40051,46256,49390,59422,59013,49326
Eleanor Roosevelt NHS,53632,54393,53067,50074,55049,43686,60456,64791,63480,67621,56625
Eugene O'Neill NHS,2544,3783,2445,2593,2789,2929,3202,3942,4287,3931,3245
Everglades NP,822118,900882,915538,934351,1141906,1047116,1110901,1077427,930907,1018557,989970
Federal Hall NMEM,212564,204880,178749,187109,167146,148647,137538,172038,314531,325497,204870
Fire Island NS,604577,569667,613057,519173,483334,294219,384343,441899,431303,456392,479796
First Ladies NHS,9770,10466,8766,8254,9903,10068,15326,12897,13378,13085,11191
Flight 93 NMEM,136091,149668,137837,265246,317926,265924,284226,337217,385123,364082,264334
Florissant Fossil Beds NM,56988,64251,65422,61289,62637,58032,63297,69130,73564,71763,64637
Ford's Theatre NHS,335865,658271,662298,642786,701542,665876,655441,681537,650779,744266,639866
Fort Bowie NHS,10095,9641,9491,8429,7966,8082,6964,7760,8013,8491,8493
Fort Caroline NMEM,279984,288606,299906,326149,327339,307086,187843,224418,232082,243960,271737
Fort Davis NHS,49290,50968,43280,35130,38136,43277,49842,55955,61823,60910,48861
Fort Donelson NB,208631,203456,202210,257389,284762,247734,262317,260744,259343,208816,239540
Fort Frederica NM,248093,296117,294484,293041,262235,217580,228103,202191,192906,188089,242284
Fort Laramie NHS,48297,56923,57128,52916,55199,54057,49038,51616,57444,61513,54413
Fort Larned NHS,21483,27443,29423,26704,33194,27432,24607,32170,31060,29188,28270
Fort Matanzas NM,813131,793253,673700,570695,497574,523694,568529,622175,557810,578981,619954
Fort McHenry NM & HS,598050,605870,611582,641254,744076,678431,769300,617890,610987,591861,646930
Fort Necessity NB,127672,197271,264450,193479,187893,165159,219546,280705,290021,294145,222034
Fort Point NHS,1390187,1385134,1315241,1338508,1502786,1591312,1677457,1610466,2264154,1532541,1560779
Fort Pulaski NM,352636,435661,416292,408104,385751,374408,387010,382945,344921,360591,384832
Fort Raleigh NHS,311751,338212,305711,282134,281833,263598,264987,289885,292367,274981,290546
Fort Scott NHS,25322,28544,27635,26219,25034,25773,25966,25531,29291,28948,26826
Fort Smith NHS,75174,63540,68678,86122,87386,69584,88790,111469,163636,141914,95629
Fort Stanwix NM,71263,93170,103748,102874,195057,129089,60819,86678,94006,106936,104364
Fort Sumter NM,744971,785604,797713,857883,842027,815007,828521,840711,888330,896569,829734
Fort Union NM,9171,11070,10638,9575,9215,8965,10934,11726,11953,11676,10492
Fort Union Trading Post NHS,11533,15141,14458,12236,12677,12908,11521,13605,17502,13329,13491
Fort Vancouver NHS,894417,1017326,786989,710439,681404,733540,803740,818672,1092031,1081489,862005
Fort Washington Park,484202,339370,352883,409381,368824,443918,466078,337433,560358,317470,407992
Fossil Butte NM,17727,18693,19700,16552,17084,17662,16623,19293,20737,21978,18605
Franklin Delano Roosevelt MEM,2622806,2591241,2238052,2309708,2764459,2837729,2938239,3290080,4360502,3507402,2946022
Frederick Douglass NHS,37852,43483,44699,46694,53314,47625,45492,53873,67387,76569,51699
Frederick Law Olmsted NHS,2969,5007,3285,4022,8668,6570,8667,9473,8935,11388,6898
Fredericksburg & Spotsylvania NMP,473841,906175,899936,908836,982324,880251,873328,891917,969895,919311,870581
Friendship Hill NHS,30623,31454,32562,30039,34289,34372,34317,34687,37847,39377,33957
Gates of the Arctic NP & PRES,11397,9975,10840,11623,10899,11012,12669,10745,10047,11177,11038
Gateway Arch NP,1954810,2360109,2436110,2259020,2496726,2377258,1817091,1698656,1271855,1398188,2006982
Gateway NRA,9431021,9010522,8820757,7697727,5043863,6191246,6021713,6392565,8651770,9190610,7645179
Gauley River NRA,112262,113185,107223,109780,115283,135309,117354,105374,115888,118733,115039
General Grant NMEM,91436,100874,119665,104769,92418,83440,100622,95526,109151,97005,99491
George Rogers Clark NHP,113688,103284,118912,145596,125972,128531,125218,135856,126095,117268,124042
George Washington Birthplace NM,99975,113083,128158,130647,134824,131683,131984,130952,129750,122457,125351
George Washington Carver NM,40407,38899,35068,30787,30425,33061,41535,37745,46397,46466,38079
George Washington MEM PKWY,7009630,6938309,6925099,7417397,7425577,7360392,7472150,7286463,10323339,7562793,7572115
Gettysburg NMP,1455951,1013002,1031554,1124659,1126577,1213349,1020702,1080185,1091320,1038649,1119595
Gila Cliff Dwellings NM,38987,43016,32652,25317,28637,27825,31135,36518,41519,78872,38448
Glacier Bay NP & PRES,418911,438361,444530,431986,454337,500590,500727,551353,520171,547057,480802
Glacier NP,1808027,2031348,2200048,1853564,2162035,2190374,2338528,2366056,2946681,3305512,2320217
Glen Canyon NRA,1947507,1960345,2124467,2270817,2061328,1991924,2368452,2495093,3239525,4574940,2503440
Golden Gate NRA,14554750,15036372,14271503,14567487,14540338,14289121,15004420,14888537,15638777,14981897,14777320
Golden Spike NHS,39968,45334,43561,43933,42551,40704,44125,59147,60027,67811,48716
Governors Island NM,205010,325840,409207,402174,348249,355553,698227,438613,522859,625653,433139
Grand Canyon NP,4425314,4348068,4388386,4298178,4421352,4564840,4756771,5520736,5969811,6254238,4894769
Grand Portage NM,77323,76025,113996,97440,93156,88598,88877,91751,95862,96051,91908
Grand Teton NP,2485987,2580081,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,2824532
Grant-Kohrs Ranch NHS,16633,20099,22075,20293,17095,18848,20565,22139,23176,24072,20500
Great Basin NP,69235,84974,88870,91451,94850,92893,107526,116123,144846,168028,105880
Great Sand Dunes NP & PRES,273903,289955,283284,280058,254674,242841,271774,299513,388308,486935,307125
Great Smoky Mountains NP,9044010,9491437,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,9951197
Greenbelt Park,164103,188043,270661,190427,145552,142742,132688,135260,137900,141856,164923
Guadalupe Mountains NP,163709,198882,192210,152546,159360,145670,166868,169535,181839,225257,175588
Guilford Courthouse NMP,354077,290368,285444,346617,313374,541581,173261,222602,321796,348991,319811
Gulf Islands NS,2054201,4132674,4283747,5501872,4973462,4837965,4455240,3976883,4771309,3952941,4294029
Hagerman Fossil Beds NM,23163,27263,29795,21100,23936,21008,22482,24695,25982,31122,25055
Haleakala NP,1185068,1109104,1105606,956989,1094668,785300,1142040,1216772,1263558,1112390,1097150
Hamilton Grange NMEM,690,150,0,7817,16358,20429,20943,35446,85348,85603,27278
Hampton NHS,35260,39334,32153,32165,37529,32262,32498,34685,34942,32327,34316
Harpers Ferry NHP,254162,275044,268822,255348,263105,255714,261202,282893,335691,342535,279452
Harry S Truman NHS,30848,28384,27670,28924,31316,28977,29364,32825,34616,45435,31836
Hawaii Volcanoes NP,1270538,1233105,1304667,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1565752
Herbert Hoover NHS,142656,162886,142512,134249,128812,128919,139086,127154,152382,144619,140328
Home of Franklin D. Roosevelt NHS,124073,123033,140251,125488,135746,147218,179340,180405,193272,185743,153457
Homestead NM of America,71314,71301,74314,69845,103708,67396,69156,78739,87755,123400,81693
Hopewell Culture NHP,28130,34179,33918,33834,39462,32206,36432,43587,58058,62413,40222
Hopewell Furnace NHS,49328,53186,55750,44873,52870,46138,48105,51252,54167,49306,50498
Horseshoe Bend NMP,50719,72232,67776,65892,58668,55965,64359,89282,83370,74255,68252
Hot Springs NP,1238147,1284707,1311807,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1380780
Hovenweep NM,25411,27855,27386,25858,26710,24959,26808,35117,42862,39970,30294
Hubbell Trading Post NHS,61955,99267,80578,88231,75061,75678,81475,66324,67276,45800,74165
Independence NHP,4076638,3967694,3751007,3572770,3594549,3553070,3648050,4311582,5067510,4790758,4033363
Indiana Dunes NL,1833596,1944568,2150345,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1839036
Isle Royale NP,14038,14653,15793,15892,16663,16274,14560,18684,24966,28196,17972
James A. Garfield NHS,27289,17100,24853,31499,36375,21027,17956,24506,45437,53536,29958
Jean Lafitte NHP & PRES,339821,335075,391019,420366,419694,400128,445524,405618,438420,456666,405233
Jewel Cave NM,100481,129595,103462,77146,109300,98259,104348,116444,137275,144537,112085
Jimmy Carter NHS,82417,69972,64849,66157,69940,67455,62057,67797,66441,60735,67782
"John D. Rockefeller, Jr. MEM PKWY",1099060,1139923,1222931,1147986,1197750,1228502,1264842,1430337,1411819,1433292,1257644
